name,Borough,BUILDING,STREET,ZIPCODE,PHONE,cuisine_description,latitude,longitude,is_vegan,is_vegetarian,is_kids_friendly,ticket_price,Information
AMARONE RESTAURANT,Manhattan,686,9 AVENUE,10036,2122456060,Italian,40.76182312,-73.99014158,1,1,1,28.26,The cuisine is Italian
FAMOUS RAY'S PIZZA,Manhattan,736,7 AVENUE,10019,2129567297,Pizza,40.76026613,-73.98387532,1,1,1,42.47,The cuisine is Pizza
HAENYEO,Brooklyn,239,5 AVENUE,11215,3472944159,Korean,40.67523008,-73.9812498,0,0,1,20.33,The cuisine is Korean
DRAFT KING,Manhattan,4,PENN PLZ,10121,2124656302,American,40.75065484,-73.99194424,0,1,1,29.46,The cuisine is American
AROMA TRATTORIA,Manhattan,932,8 AVENUE,10019,2127813008,Italian,40.765558,-73.98370436,1,1,0,19.11,The cuisine is Italian
ROSA'S PIZZA,Queens,5526,69 STREET,11378,7184465910,Pizza,40.72743895,-73.89548128,0,1,1,25.99,The cuisine is Pizza
Billboard Lounge,Brooklyn,620,ATLANTIC AVENUE,11217,9176186317,Bottled Beverages,40.6834469,-73.97569131,0,1,1,10.66,The cuisine is Bottled Beverages
BUUNNI COFFEE,Manhattan,4211,BROADWAY,10033,6467918454,Coffee/Tea,40.84860912,-73.93744664,0,1,0,42.03,The cuisine is Coffee/Tea
DELICACY,Manhattan,12,EAST   44 STREET,10017,2126974444,Sandwiches,40.75449592,-73.97929997,1,1,0,47.37,The cuisine is Sandwiches
MODERN LOVE,Brooklyn,317,UNION AVENUE,11211,5034811766,Vegan,40.7098382,-73.95094128,0,1,0,14.3,The cuisine is Vegan
SVG CARIBBEAN BAKERY AND RESTAURANT,Brooklyn,1621,NOSTRAND AVENUE,11226,7186931926,Caribbean,40.6463919,-73.94908904,0,1,1,48.85,The cuisine is Caribbean
POTBELLY SANDWICH WORKS,Manhattan,150,EAST   44 STREET,10017,6462894202,American,40.75238418,-73.97429813,1,1,0,32.95,The cuisine is American
WILD GINGER VEGAN BJQ,Brooklyn,182,NORTH   10 STREET,11211,7182188828,Vegan,40.71902944,-73.9552238,0,1,0,45.76,The cuisine is Vegan
SORRENTO'S PIZZERIA,Bronx,2004,WILLIAMSBRIDGE ROAD,10461,7188287810,Pizza,40.85441884,-73.85456671,1,1,1,44.23,The cuisine is Pizza
NANCY'S RESTAURANT,Queens,255-41,JAMAICA AVENUE,11001,7183434616,American,40.7274127,-73.70962097,1,1,0,28.11,The cuisine is American
DOUGLASTON MANOR,Queens,6320,COMMONWEALTH BLVD,11362,7182248787,American,40.75457176,-73.72846613,1,1,0,29.33,The cuisine is American
JEZERO CAFE,Brooklyn,274,AVENUE X,11223,9179334064,Turkish,40.59024169,-73.97283776,0,1,0,27.39,The cuisine is Turkish
HOOTERS,Queens,61-09,190 STREET,11365,7184542800,American,40.74096984,-73.78464067,0,0,0,41.55,The cuisine is American
H.K. TASTE,Queens,4721,90TH ST,11373,7186060001,Chinese,40.74177123,-73.87535447,0,0,1,37.58,The cuisine is Chinese
PEPPER'S CARIBBEAN RESTAURANT AND BAR,Bronx,4564,WHITE PLAINS ROAD,10470,6466338538,Caribbean,40.90127091,-73.85207992,0,1,1,42.94,The cuisine is Caribbean
FAMILY KITCHEN,Brooklyn,1709,FOSTER AVENUE,11230,7188590283,Chinese,40.63500302,-73.96112796,1,1,1,31.97,The cuisine is Chinese
CORT THEATRE,Manhattan,138,WEST   48 STREET,10105,2125867610,American,40.7591351,-73.98254001,1,1,0,16.07,The cuisine is American
BEER WITCH,Brooklyn,460,BERGEN STREET,11217,9175721838,,40.68111118,-73.97609958,0,0,1,19.99,
"ALPHA, AWESOMESAUCE",Queens,4006,ASTORIA BLVD,11103,7187372607,American,40.76880719,-73.91075585,0,0,0,42.98,The cuisine is American
ROUTE 66 AMERICAN BBQ,Manhattan,79,PEARL STREET,10004,2129431602,American,40.70397992,-74.01025017,0,0,0,15.59,The cuisine is American
ZOMA,Manhattan,2084,FREDRICK DOUGLAS BOULEVARD,10026,2126620620,Ethiopian,40.80229233,-73.95690135,0,0,0,39.61,The cuisine is Ethiopian
EMPELLON AL PASTOR,Manhattan,132,SAINT MARKS PLACE,10009,6468337039,Tex-Mex,40.72718907,-73.98437042,1,1,0,34.34,The cuisine is Tex-Mex
KN BAKERY,Bronx,231B,EAST  149 STREET,10451,7186845211,Bakery Products/Desserts,40.817742,-73.92412623,1,1,1,38.81,The cuisine is Bakery Products/Desserts
ROSARIO'S IHAWAN,Queens,4009,69TH ST,11377,7184583300,Filipino,40.74595858,-73.89624248,1,1,0,46.54,The cuisine is Filipino
XOCHIMILCO FAMILY REST,Bronx,653,MELROSE AVENUE,10455,7184025400,Mexican,40.81854926,-73.91665381,0,0,1,47.16,The cuisine is Mexican
SUPER POWER,Brooklyn,722,NOSTRAND AVENUE,11216,7184840020,American,40.67391425,-73.95012783,0,1,0,29.45,The cuisine is American
THE PARK VIEW,Manhattan,219,DYCKMAN STREET,10034,3478658750,American,40.86563426,-73.92737954,0,1,0,16.33,The cuisine is American
CASABLANCA RESTAURANT,Staten Island,155,LAFAYETTE AVENUE,10301,7185244391,Spanish,40.64121471,-74.09488131,1,1,1,28.87,The cuisine is Spanish
TUFINO PIZZERIA NAPOLETANA,Queens,3608,DITMARS BOULEVARD,11105,7182784800,Italian,40.77423968,-73.90805151,0,0,0,16.11,The cuisine is Italian
SUBCONSCIOUS,Manhattan,1213,AMSTERDAM AVENUE,10027,2128642720,Sandwiches/Salads/Mixed Buffet,40.80910295,-73.95937141,0,1,1,40.72,The cuisine is Sandwiches/Salads/Mixed Buffet
KOGANE RAMEN,Manhattan,337,WEST   14 STREET,10014,7188752828,Japanese,40.74031279,-74.00384321,0,0,1,42.68,The cuisine is Japanese
EAST MEETS WEST CHINESE RESTAURANT,Queens,16130,CROSS BAY BOULEVARD,11414,7183230600,Chinese,40.65521324,-73.83890704,1,1,1,32.76,The cuisine is Chinese
LA MIRABELLE RESTAURANT,Manhattan,102,WEST   86 STREET,10024,2124960458,French,40.78656145,-73.97238903,0,1,0,22.57,The cuisine is French
SWELL DIVE,Brooklyn,1013,BEDFORD AVENUE,11205,9176524779,Tex-Mex,40.68927332,-73.95507799,0,1,1,41.17,The cuisine is Tex-Mex
BECO,Brooklyn,45,RICHARDSON STREET,11211,7185991645,Brazilian,40.71825077,-73.95058875,0,0,0,21.94,The cuisine is Brazilian
NACHO MACHO TACO,Brooklyn,82,5 AVENUE,11217,7186228282,Tex-Mex,40.68055705,-73.97766092,1,1,0,13.36,The cuisine is Tex-Mex
XIN LI,Brooklyn,801,59 STREET,11220,7188518086,Chinese,40.63587665,-74.00861473,0,1,1,22.07,The cuisine is Chinese
NYLO NYC,Manhattan,2178,BROADWAY,10024,2126513319,American,40.78235546,-73.98084037,1,1,0,36.95,The cuisine is American
P&S BAKERY RESTAURANT,Brooklyn,917,UTICA AVENUE,11203,7184852020,Caribbean,40.65071325,-73.93025956,1,1,0,12.56,The cuisine is Caribbean
SHINSEN,Manhattan,44,BOWERY,10013,3476885404,Japanese,40.71565931,-73.99643598,1,1,1,18.04,The cuisine is Japanese
GAOMING BAKERY,Brooklyn,5110,8 AVENUE,11220,7186338865,Bakery Products/Desserts,40.64043048,-74.00443197,0,1,1,30.9,The cuisine is Bakery Products/Desserts
PISILLO ITALIAN PANINI,Manhattan,97,NASSAU STREET,10038,2122273104,Italian,40.71044132,-74.00752426,0,1,1,33.25,The cuisine is Italian
POULETTE,Manhattan,304,EAST   49 STREET,10017,3474200714,French,40.75405706,-73.96856215,0,0,1,38.47,The cuisine is French
UPSTEIN FOOD COURT,Manhattan,5,UNIVERSITY PLACE,10003,2129984931,American,40.73091743,-73.99536354,1,1,0,31.46,The cuisine is American
AFRICA KINE,Manhattan,2267,ADAM CLAYTON POWELL JR BOULEVARD,,2126669400,African,0,0,1,1,0,45.79,The cuisine is African
GYRO CORNER NYC,Queens,3269,FRANCIS LEWIS BLVD,11358,7183595454,Greek,40.76783082,-73.79094706,1,1,0,24.77,The cuisine is Greek
THE EMERSON,Brooklyn,561,MYRTLE AVENUE,11205,3477631310,American,40.69392538,-73.96174257,0,1,0,40.41,The cuisine is American
OVERLOOK,Manhattan,225,EAST   44 STREET,10017,2126827266,American,40.75176077,-73.97277887,1,1,1,29.88,The cuisine is American
MR. DIPS,Manhattan,89,SOUTH STREET,10038,2129703477,Hamburgers,40.70585774,-74.00376908,1,1,0,27.79,The cuisine is Hamburgers
LUSOM FOOD,Queens,1,NEW YORK TIMES PLZ,11357,7182107956,American,40.7782889,-73.8276135,0,0,0,15.32,The cuisine is American
SOJU HAUS,Manhattan,315,5 AVENUE,10016,2122132177,Korean,40.74699545,-73.98559643,0,0,1,13.54,The cuisine is Korean
SHELLYS IRISH DELI,Queens,5634,66TH ST,11378,7184240429,Irish,40.72482049,-73.89858812,1,1,1,25.87,The cuisine is Irish
TULCINGO CAFE,Bronx,3041,BUHRE AVENUE,10461,3472818787,Mexican,40.84745075,-73.83106975,0,0,1,12.71,The cuisine is Mexican
MAMALEE,Queens,21312,48TH AVENUE,11364,7187678680,Asian/Asian Fusion,40.75550645,-73.76791043,0,0,0,16.27,The cuisine is Asian/Asian Fusion
EMPANADAS EL GUSTAZO RESTAURANTE,Queens,4219,COLLEGE POINT BLVD,11355,7186611080,Latin American,40.75450259,-73.83304612,1,1,0,49.91,The cuisine is Latin American
KREYOL FLAVOR,Brooklyn,2816,CHURCH AVENUE,11226,7188562100,Caribbean,40.65071851,-73.95100294,1,1,0,37.37,The cuisine is Caribbean
BEST FRESH PIZZA,Manhattan,787,9 AVENUE,10019,2125862600,Pizza,40.7649931,-73.98785599,0,1,0,48.72,The cuisine is Pizza
THE GREY DOG'S COFFEE,Manhattan,90,UNIVERSITY PLACE,10003,2124144739,American,40.73365385,-73.99302879,1,1,1,46.02,The cuisine is American
THE DECO FOOD + DRINK,Manhattan,231,WEST   39 STREET,10018,6503028962,,40.75456865,-73.98936303,0,0,1,20.04,
CAFE BLISS & ORGANIC JUICE BAR,Queens,4417,48TH AVE,11377,3479444894,"Juice, Smoothies, Fruit Salads",40.73949796,-73.92107619,0,1,0,14.47,"The cuisine is Juice, Smoothies, Fruit Salads"
TANG PAVILION,Manhattan,65,WEST   55 STREET,10019,2129566888,Chinese,40.76249368,-73.97686804,0,0,0,39.51,The cuisine is Chinese
TACOS EL NOPAL,Brooklyn,8321,5 AVENUE,11209,3475787461,Tex-Mex,40.62336624,-74.02512246,1,1,1,42.92,The cuisine is Tex-Mex
BOLIVIAN LLAMA PARTY,Queens,4414,48TH AVE,11377,3474185461,Latin American,40.7394815,-73.92109064,1,1,0,42.43,The cuisine is Latin American
JERUSALEM BAGELS,Queens,6448,108TH ST,11375,7184339341,Jewish/Kosher,40.73203427,-73.84915193,0,0,0,35.27,The cuisine is Jewish/Kosher
THE CAMPBELL,Manhattan,15,VANDERBILT AVENUE,10017,2122971781,American,40.7527857,-73.97807333,0,0,0,34.71,The cuisine is American
MOON HOUSE CHINESE RESTAURANT,Manhattan,1810,3 AVENUE,10029,2124276540,Chinese/Japanese,40.78804031,-73.94725774,1,1,0,35.74,The cuisine is Chinese/Japanese
THE CHICKEN SHACK,Queens,3619,BROADWAY,11106,7187213035,Chicken,40.75991344,-73.92099054,0,0,0,27.86,The cuisine is Chicken
WILLIAMSBURG THAI CUISINE,Brooklyn,212,BEDFORD AVENUE,11249,9293377651,Thai,40.7169063,-73.95872799,1,1,0,34.98,The cuisine is Thai
MAISON DU TSURU,Brooklyn,428,HUMBOLDT STREET,11211,6469327763,Coffee/Tea,40.71655098,-73.94300013,1,1,1,47.18,The cuisine is Coffee/Tea
NG'S KITCHEN,Brooklyn,6012,8 AVENUE,11220,6469190011,Chinese,40.63535505,-74.00970996,0,0,1,43.31,The cuisine is Chinese
WING WAGON,Brooklyn,351,FLATBUSH AVENUE,11238,7183980501,American,40.67694924,-73.97228316,0,1,1,25.41,The cuisine is American
BROOKLYN ROASTING COMPANY,Manhattan,167,AVENUE B,10009,7188551000,Coffee/Tea,40.72718559,-73.97965846,1,1,1,12.47,The cuisine is Coffee/Tea
MOFON LOUNGE,Bronx,894,EAST TREMONT AVENUE,10460,7188425555,Latin American,40.84216471,-73.88457701,1,1,1,49.91,The cuisine is Latin American
"BREWERY HEIGHTS, GO GO STOP",Queens,NKA,"LAGUARDIA AIRPORT, CENTRAL TERMINAL BLDG",11369,7037237264,American,40.77441403,-73.87729335,0,0,0,29.15,The cuisine is American
LA PRINCESA DEL RODEO,Bronx,1177B,WHEELER AVENUE,10472,3473675728,Mexican,40.82770615,-73.87993366,1,1,0,15.4,The cuisine is Mexican
"FOREVER JERK, LLC",Queens,14594,GUY R BREWER BLVD,11434,7189782222,Caribbean,40.66382941,-73.76856587,0,0,0,20.66,The cuisine is Caribbean
MCGETTIGANS,Manhattan,70,WEST   36 STREET,10018,2129130533,Irish,40.75073662,-73.98607203,0,1,1,44.57,The cuisine is Irish
IRIE CARIBBEAN KITCHEN & BAKERY,Brooklyn,126,UTICA AVENUE,11213,3472953628,Caribbean,40.67458753,-73.93058058,0,0,0,11.66,The cuisine is Caribbean
KIMURA,Manhattan,31,SAINT MARKS PLACE,10003,2125336855,Japanese,40.72885286,-73.98825948,1,1,0,19.71,The cuisine is Japanese
CAPRI PIZZA,Bronx,2401,WESTCHESTER AVENUE,10461,7185105400,Pizza,40.83721212,-73.84617679,0,1,1,20.45,The cuisine is Pizza
SALUGGI'S,Manhattan,325,CHURCH STREET,10013,2122267900,Italian,40.72019641,-74.00377711,1,1,1,30.51,The cuisine is Italian
18 LOUNGE KTV,Brooklyn,8732,18 AVENUE,11214,9179232338,Bottled Beverages,40.60462747,-74.00540913,1,1,0,10.41,The cuisine is Bottled Beverages
BOMBAY GRILL,Brooklyn,8716,3 AVENUE,11209,7184912500,Indian,40.62254399,-74.03144411,1,1,0,30.93,The cuisine is Indian
YOLPAQUI TAQUERIA,Staten Island,1431,FOREST AVENUE,10302,7185244201,Mexican,40.62473983,-74.1363392,1,1,0,29.03,The cuisine is Mexican
BAR TABAC,Brooklyn,128,SMITH STREET,11201,7189230918,French,40.68726703,-73.99010938,0,1,0,25.83,The cuisine is French
OCEAN PRIME,Manhattan,123,WEST   52 STREET,10019,2129561404,American,40.76156113,-73.98048539,1,1,0,49.37,The cuisine is American
MI CASA RESTAURANT,Queens,11620,JAMAICA AVENUE,11418,7188499636,Latin American,40.69920376,-73.83309498,0,1,0,32.41,The cuisine is Latin American
EMIR PALACE,Brooklyn,4210,18 AVENUE,11218,7184310007,Middle Eastern,40.63159795,-73.97536801,1,1,1,45.51,The cuisine is Middle Eastern
SONIC DRIVE-IN,Staten Island,148,PAGE AVENUE,10307,7183176642,American,40.52058208,-74.23505097,1,1,0,47.05,The cuisine is American
RADIO CITY MUSIC HALL,Manhattan,1260,AVENUE OF THE AMERICAS,10020,2124857200,American,40.75998287,-73.98034869,1,1,0,48.06,The cuisine is American
METRO CAFETERIA & RESTAURANT,Brooklyn,566,HAMILTON AVENUE,11232,6468364756,Spanish,40.6675654,-73.99642053,1,1,1,40.66,The cuisine is Spanish
LE MIDI BISTRO,Manhattan,9,EAST   13 STREET,10003,6464863255,French,40.7350592,-73.99351216,0,1,1,14.58,The cuisine is French
KOGANE,Brooklyn,76,HENRY STREET,11201,7188752828,Asian/Asian Fusion,40.69854548,-73.99249873,1,1,0,45.3,The cuisine is Asian/Asian Fusion
THE PALM,Queens,,JFK INTERNATIONAL AIRPORT,11430,7187514798,American,40.64831283,-73.7882815,1,1,0,29.66,The cuisine is American
A CAFE,Manhattan,42,WEST   58 STREET,10019,6467443104,Coffee/Tea,40.76435427,-73.97518876,1,1,1,48.87,The cuisine is Coffee/Tea
NEW DYNASTY,Manhattan,393,8 AVENUE,10001,2125949734,Chinese,40.74938421,-73.99551384,0,1,0,41.87,The cuisine is Chinese
SPOT,Manhattan,13,ST MARKS PLACE,10003,2126775670,Bakery Products/Desserts,40.72918506,-73.98904237,0,0,0,29.19,The cuisine is Bakery Products/Desserts
DINO'S PIZZA,Bronx,5660,MOSHOLU AVENUE,10471,7187960456,Pizza,40.90501845,-73.90174161,0,0,1,19.15,The cuisine is Pizza
DOWNTOWN MARKET,Queens,1,JFK INTL AIRPORT BLVD,11430,6463895712,American,40.64831283,-73.7882815,0,1,0,17.86,The cuisine is American
THE LOYAL,Manhattan,289,BLEECKER STREET,10014,2124885800,American,40.732084,-74.00347109,1,1,0,48.67,The cuisine is American
PICO DE GALLO RESTAURANT,Queens,8009,ROOSEVELT AVE,11372,7186397271,Mexican,40.74746082,-73.88559707,0,0,0,23.48,The cuisine is Mexican
PIZZA & BAGEL ON 3RD,Brooklyn,663,3 AVENUE,11232,7183693600,Sandwiches,40.66469987,-73.99689649,1,1,1,11.75,The cuisine is Sandwiches
STUDIO 9C,Manhattan,30,ROCKEFLLER PLAZA,,2126644454,American,0,0,0,0,0,29.69,The cuisine is American
CHINA WOK,Manhattan,454A,LENOX AVENUE,10037,2122814188,Chinese,40.81255111,-73.94197833,0,0,0,10.71,The cuisine is Chinese
JUMBO HAMBURGER PLACE,Manhattan,112,WEST  116 STREET,10026,2126659600,Hamburgers,40.80236662,-73.95053691,0,0,0,35.42,The cuisine is Hamburgers
MENU,Queens,3456,33RD ST,11106,3472368494,Coffee/Tea,40.75762536,-73.92671086,0,0,1,40.21,The cuisine is Coffee/Tea
THE TRIPLE CROWN,Manhattan,330,7 AVENUE,10001,2127361575,Irish,40.74754236,-73.99314282,1,1,0,15,The cuisine is Irish
SIDE PARK CAFE,Manhattan,1230,5 AVENUE,10029,2126607150,American,40.79306528,-73.95199206,0,1,0,37.55,The cuisine is American
TERRACE CAFE,Bronx,2300,SOUTHERN BOULEVARD,10460,7182205069,American,40.85055596,-73.88245143,0,0,0,19.36,The cuisine is American
SLICE OF BROOKLYN INC.,Brooklyn,849,4 AVENUE,11232,7184992121,Pizza,40.65701452,-74.00158942,1,1,0,32.37,The cuisine is Pizza
MISAKI,Staten Island,645,ROSSVILLE AVENUE,10309,7189668882,Japanese,40.54235092,-74.20823691,1,1,0,14.93,The cuisine is Japanese
MADE IN NEW YORK PIZZA,Manhattan,421,AMSTERDAM AVENUE,10024,6464846200,Pizza,40.78395783,-73.97771276,1,1,0,20.02,The cuisine is Pizza
GYRO BBQ FRIED CHICKEN,Brooklyn,3680,NOSTRAND AVENUE,11229,3474629696,Chicken,40.59433028,-73.94072478,0,0,0,43.62,The cuisine is Chicken
MOKBAR,Brooklyn,212,FLATBUSH AVENUE,11217,3479873042,Korean,40.68121533,-73.9754073,0,1,1,45.06,The cuisine is Korean
BLU CAFE,Manhattan,120,RIVERSIDE BOULEVARD,10069,2125801200,Coffee/Tea,40.77666668,-73.9892295,0,0,1,34.5,The cuisine is Coffee/Tea
ZYARA,Manhattan,57,CLINTON STREET,10002,6465594250,Mediterranean,40.71957515,-73.98482676,1,1,1,38.65,The cuisine is Mediterranean
MARINELL BAKERY,Bronx,264,EAST  167 STREET,10456,7185883585,Bakery Products/Desserts,40.83336643,-73.91435492,0,0,1,35.56,The cuisine is Bakery Products/Desserts
WESTWAY DINER,Manhattan,614,9 AVENUE,10036,2125827661,American,40.75947923,-73.99184932,0,1,0,21.65,The cuisine is American
AMC THEATRES (LOEWS ORPHEUM),Manhattan,1538,3 AVENUE,10028,2128762111,American,40.7791309,-73.95376781,0,0,1,23.45,The cuisine is American
LANZHOU HANDMAKE NOODLE,Queens,136-20,ROOSEVELT AVENUE,11354,2155880557,Chinese,40.75977791,-73.82923543,0,0,0,15.24,The cuisine is Chinese
THE ISLANDS,Brooklyn,671,WASHINGTON AVENUE,11238,7183983575,Caribbean,40.67713072,-73.96362696,0,1,1,41.99,The cuisine is Caribbean
AUGURS WELL,Manhattan,115,ST MARKS PLACE,10009,7182497645,American,40.72728516,-73.9845508,0,1,1,21.75,The cuisine is American
JAYA RESTAURANT,Manhattan,79,AUDUBON AVENUE,10032,2129271535,Latin American,40.84125068,-73.93779331,1,1,1,49.86,The cuisine is Latin American
MIDWOOD FLATS,Brooklyn,577,FLATBUSH AVENUE,11225,9179453497,American,40.65957136,-73.96055492,0,0,0,44.24,The cuisine is American
MULLIGANS,Manhattan,267,MADISON AVENUE,10016,2122860207,Irish,40.75110909,-73.98050651,0,0,1,15.5,The cuisine is Irish
RINCON SALVADORENO RESTAURANT,Queens,9215,149 STREET,11435,7185263220,Latin American,40.70169634,-73.80544083,1,1,0,19.67,The cuisine is Latin American
GREEN KITCHEN DINER,Manhattan,1475,1 AVENUE,10075,2129884163,American,40.77087193,-73.95376635,1,1,0,27.31,The cuisine is American
GU,Manhattan,155,EAST   52 STREET,10022,2127521142,Japanese,40.75751058,-73.97088148,0,0,1,38.99,The cuisine is Japanese
BRONX CURRY AND KABAB,Bronx,2052,WALLACE AVENUE,10462,3474727929,Indian,40.85206546,-73.86487389,1,1,0,16.27,The cuisine is Indian
GIOVANNIS TRATTORIA,Staten Island,3800,RICHMOND AVENUE,10312,7182273914,Italian,40.54527502,-74.1657131,0,1,1,16.09,The cuisine is Italian
R&D FOODS,Brooklyn,602,VANDERBILT AVENUE,11238,3479151196,American,40.67829599,-73.96864127,1,1,0,46.91,The cuisine is American
REDSTONE ROCKET,Queens,3235,48TH AVE,11101,7183921972,American,40.74089448,-73.93313835,1,1,0,12.73,The cuisine is American
HAPPY DELI,Queens,3309,COLLEGE POINT BLVD,11354,3476065787,American,40.76536687,-73.83721723,1,1,0,19.82,The cuisine is American
ROAST 28,Brooklyn,5124,8 AVENUE,11220,6316939921,Chinese,40.64037284,-74.00448962,1,1,0,12.04,The cuisine is Chinese
PAULINES FISH & LOBSTER,Bronx,50,EAST  168 STREET,10452,6463024426,,40.83671859,-73.91929079,1,1,0,19.1,
PRONTO CAFE,Brooklyn,3105,AVENUE H,11210,3474139300,Sandwiches,40.63172252,-73.94632976,0,1,1,20.57,The cuisine is Sandwiches
HAMA NEW YORK INC.,Manhattan,245,WEST   51 STREET,10019,2123980203,,40.76243183,-73.98449207,0,0,1,10.67,
LA JACARANDA,Manhattan,354,BOWERY,10012,2817989211,,40.72665186,-73.99171264,0,0,1,37.29,
JEUN JU KOREAN RESTAURANT,Queens,4011,150 STREET,11354,7189390434,Korean,40.76338052,-73.81428112,1,1,1,42.98,The cuisine is Korean
FOO SHUN RESTAURANT,Brooklyn,2538,PITKIN AVENUE,11208,7188277996,Chinese,40.67442347,-73.87858479,1,1,0,47.48,The cuisine is Chinese
ROSSY'S BAKERY & COFFEE SHOP,Manhattan,242,EAST    3 STREET,10009,2122532424,Spanish,40.72221245,-73.98191477,1,1,0,12.71,The cuisine is Spanish
CAFE OLYMPIA,Manhattan,664,LEXINGTON AVENUE,10022,2123558383,Sandwiches,40.75989278,-73.96989137,1,1,0,47.4,The cuisine is Sandwiches
Beta Salads,Manhattan,230,PARK AVENUE,10169,6467470810,Sandwiches/Salads/Mixed Buffet,40.75450075,-73.97595043,0,1,1,12.86,The cuisine is Sandwiches/Salads/Mixed Buffet
UNCLE LOUIE G,Staten Island,311,PAGE AVENUE,10307,9173596761,Frozen Desserts,40.516647,-74.23323881,1,1,1,45.01,The cuisine is Frozen Desserts
MALINCHE MEXICAN RESTAURANT,Brooklyn,1018,NOSTRAND AVENUE,11225,7187554489,Spanish,40.66358327,-73.9509538,0,0,1,26.4,The cuisine is Spanish
MARCELLINO,Manhattan,178,MULBERRY STREET,10012,6465590640,Italian,40.72059716,-73.99678565,1,1,1,19.39,The cuisine is Italian
GARDEN MARKET HOT DOG CONCESSION,Manhattan,4,PENN PLZ,10121,2124656302,American,40.75065484,-73.99194424,0,0,0,28.47,The cuisine is American
BOWL 360 BROOKLYN,Brooklyn,1,BOUCK COURT,11223,6462610924,American,40.58874604,-73.97395091,1,1,0,21.27,The cuisine is American
NEW CURRY HUT,Manhattan,534,9 AVENUE,10018,2129675885,Indian,40.75684987,-73.9937627,0,1,0,35.88,The cuisine is Indian
KULUSHKAT,Brooklyn,1137,WASHINGTON AVENUE,11225,3473782514,Mediterranean,40.66116338,-73.96069455,0,1,1,28.61,The cuisine is Mediterranean
CAMPANIA COAL FIRED PIZZA,Staten Island,3900,RICHMOND AVENUE,10312,7182273286,Italian,40.5429281,-74.16389029,0,0,0,35.32,The cuisine is Italian
GOOD TASTE 88,Brooklyn,773,52 STREET,11220,7188538861,Chinese,40.64044415,-74.00561023,1,1,0,24.18,The cuisine is Chinese
THE RABBIT HOLE,Brooklyn,352,BEDFORD AVENUE,11249,7187820910,American,40.71226627,-73.96272036,0,1,1,36.05,The cuisine is American
SOCIETY CAFE,Manhattan,52,WEST   13 STREET,10011,2123004525,American,40.73599801,-73.99578176,1,1,1,46.68,The cuisine is American
BAR 360,Queens,11000,ROCKAWAY BOULEVARD,11420,7182153308,American,40.67766457,-73.82875789,0,1,1,31.43,The cuisine is American
HUB THAI,Manhattan,103-105,AVENUE A,10009,2122288221,Thai,40.72578915,-73.98373577,1,1,1,47.48,The cuisine is Thai
PACKARD CAFE,Queens,4134,CRESCENT STREET,11101,7183922323,American,40.75173162,-73.93956637,0,0,1,30.35,The cuisine is American
AZIZA 7 CAFE,Brooklyn,2113,AVENUE Z,11235,7189340717,Middle Eastern,40.58865489,-73.9480927,0,1,1,49.65,The cuisine is Middle Eastern
ENERGY,Queens,3305A,102ND ST,11368,4439492577,"Juice, Smoothies, Fruit Salads",40.75720881,-73.86650006,1,1,0,26.72,"The cuisine is Juice, Smoothies, Fruit Salads"
MAX RESTAURANT,Manhattan,134,WEST BROADWAY,10013,9176220414,Italian,40.71675972,-74.00825366,0,1,1,30.89,The cuisine is Italian
JUICE GENERATION CAFE GROUP,Manhattan,69,PRINCE STREET,10012,6463458045,"Juice, Smoothies, Fruit Salads",40.72393481,-73.9970705,0,1,0,28.09,"The cuisine is Juice, Smoothies, Fruit Salads"
SUSHI K BAR BP,Brooklyn,4120,16 AVENUE,11204,7188715227,Jewish/Kosher,40.63516179,-73.98122507,0,1,1,41.26,The cuisine is Jewish/Kosher
La Colombe,Manhattan,601,WEST   27 STREET,10001,2679740928,Coffee/Tea,40.75155252,-74.00552578,0,0,0,37.69,The cuisine is Coffee/Tea
AT&T SPORTS LOUNGE,Bronx,1,EAST  161 STREET,10451,9172843260,American,40.82902843,-73.92849646,1,1,0,46.57,The cuisine is American
CROSS CULTURE KITCHEN,Manhattan,62,EAST  116 STREET,10029,2128603900,African,40.79971505,-73.94423976,1,1,0,37.77,The cuisine is African
BAMBOO YA,Queens,9711,QUEENS BLVD,11374,7188061228,Japanese,40.7296531,-73.86103513,0,1,0,20.43,The cuisine is Japanese
IL FALCO,Queens,2150,44TH DR,11101,7187070009,Italian,40.74801337,-73.94693948,0,0,1,41.82,The cuisine is Italian
COFFEE SHOP,Bronx,3424,KOSSUTH AVENUE,10467,7185193965,American,40.88045622,-73.88163894,0,1,1,34.27,The cuisine is American
BETTOLA,Manhattan,412,AMSTERDAM AVENUE,10024,9176732294,Italian,40.78362851,-73.97798008,1,1,0,13.66,The cuisine is Italian
RELISH CATERERS,Bronx,2501,3 AVENUE,10451,2122281672,American,40.81020218,-73.92840116,0,1,0,37.11,The cuisine is American
HUG ESAN,Queens,7716,WOODSIDE AVE,11373,9293280392,Thai,40.74356539,-73.88775103,0,0,0,19.1,The cuisine is Thai
AITA TRATTORIA,Brooklyn,798A,FRANKLIN AVENUE,11238,9179662670,Italian,40.67110943,-73.95781917,1,1,0,16.63,The cuisine is Italian
AMERICA GOURMET FOOD,Manhattan,831,6 AVENUE,10001,2128689790,Sandwiches,40.74656226,-73.99014746,1,1,1,32.44,The cuisine is Sandwiches
